,name,inchi,mult
215,IC4H8O2H-I,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3",2
216,IC4H8O2H-T,"InChI=1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3",2
217,TC4H8O2H-I,"InChI=1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3",2
218,CC4H8O,"InChI=1S/C4H8O/c1-4-2-5-3-4/h4H,2-3H2,1H3",1
219,IC4H8OOH-IO2,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-5H,2-3H2,1H3",2
220,IC4H8OOH-TO2,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5H,3H2,1-2H3",2
221,TC4H8OOH-IO2,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h6H,3H2,1-2H3",2
222,IC4KETII,"InChI=1S/C4H8O3/c1-4(2-5)3-7-6/h2,4,6H,3H2,1H3",1
223,IC4KETIT,"InChI=1S/C4H8O3/c1-4(2,3-5)7-6/h3,6H,1-2H3",1
224,TIC4H7Q2-I,"InChI=1S/C4H9O4/c1-4(2,8-6)3-7-5/h5-6H,1,3H2,2H3",2
225,IIC4H7Q2-I,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-6H,1-3H2",2
226,IIC4H7Q2-T,"InChI=1S/C4H9O4/c1-4(2-7-5)3-8-6/h5-6H,2-3H2,1H3",2
227,IC4H7OOH,"InChI=1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3",1
228,IC4H9O2H,"InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3",1
229,TC4H9O2H,"InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3",1
230,IC4H8,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",1
231,IC4H7,"InChI=1S/C4H7/c1-4(2)3/h1-2H2,3H3",2
232,IC4H7-I1,"InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3",2
233,IC4H7O2,"InChI=1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3",2
234,IC4H6OOH-I,"InChI=1S/C4H7O2/c1-4(2)3-6-5/h5H,1-3H2",2
235,CCYCCOOC-T1,"InChI=1S/C4H7O2/c1-4-2-5-6-3-4/h2-3H2,1H3",2
